metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.32296,0.37719,0.29985,0.08462,0.06405,15.02178,1.76361,1,1764656377,,False,1,476b5_00008,2025-12-02_14-19-37,643.2704744338989,643.2704744338989,25539,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,643.2704744338989,1
0.4883,0.40674,0.38302,0.12929,0.06126,11.0666,1.75729,2,1764656409,,False,2,476b5_00008,2025-12-02_14-20-09,31.619219303131104,674.88969373703,25539,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,674.88969373703,2
0.52467,0.44152,0.44471,0.11174,0.06844,12.16778,1.84365,3,1764656440,,False,3,476b5_00008,2025-12-02_14-20-40,30.605352640151978,705.495046377182,25539,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,705.495046377182,3
0.57647,0.49728,0.5099,0.20216,0.05387,10.33097,1.52242,4,1764656471,,False,4,476b5_00008,2025-12-02_14-21-11,31.212239027023315,736.7072854042053,25539,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,736.7072854042053,4
0.63961,0.5309,0.54981,0.19395,0.05599,9.02367,1.61787,5,1764656502,,False,5,476b5_00008,2025-12-02_14-21-42,30.831122636795044,767.5384080410004,25539,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,767.5384080410004,5
0.65943,0.49867,0.55398,0.21685,0.05293,9.86908,1.48723,6,1764656533,,False,6,476b5_00008,2025-12-02_14-22-13,31.182451486587524,798.7208595275879,25539,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,798.7208595275879,6
0.66477,0.53173,0.56889,0.18051,0.06181,9.40479,1.68064,7,1764656564,,False,7,476b5_00008,2025-12-02_14-22-44,30.49185562133789,829.2127151489258,25539,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,829.2127151489258,7
0.62314,0.50672,0.53767,0.17453,0.06157,9.63005,1.7025,8,1764656595,,False,8,476b5_00008,2025-12-02_14-23-15,30.7674822807312,859.980197429657,25539,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,859.980197429657,8
0.68021,0.5737,0.6044,0.19155,0.062,9.00249,1.68987,9,1764656625,,False,9,476b5_00008,2025-12-02_14-23-45,30.518035888671875,890.4982333183289,25539,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,890.4982333183289,9
0.69945,0.57714,0.62875,0.21143,0.05852,9.03513,1.64774,10,1764656656,,True,10,476b5_00008,2025-12-02_14-24-16,30.478228330612183,920.976461648941,25539,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,920.976461648941,10
