metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.40326,0.45256,0.39573,0.11778,0.01419,12.30366,1.72716,1,1764653026,,False,1,476b5_00005,2025-12-02_13-23-46,84.16324257850647,84.16324257850647,22800,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,84.16324257850647,1
0.52101,0.42274,0.3966,0.11571,0.01472,10.12882,1.78478,2,1764653060,,False,2,476b5_00005,2025-12-02_13-24-20,33.18819522857666,117.35143780708313,22800,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,117.35143780708313,2
0.51923,0.3863,0.38764,0.11009,0.01516,9.86532,1.80855,3,1764653093,,False,3,476b5_00005,2025-12-02_13-24-53,32.626813650131226,149.97825145721436,22800,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,149.97825145721436,3
0.47102,0.41439,0.4012,0.13237,0.01421,9.57997,1.67776,4,1764653125,,False,4,476b5_00005,2025-12-02_13-25-25,32.20310878753662,182.18136024475098,22800,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,182.18136024475098,4
0.66518,0.5536,0.5885,0.17373,0.01461,8.53544,1.7515,5,1764653157,,False,5,476b5_00005,2025-12-02_13-25-57,31.982816219329834,214.1641764640808,22800,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,214.1641764640808,5
0.65087,0.54901,0.56883,0.18601,0.01375,8.34641,1.61681,6,1764653189,,False,6,476b5_00005,2025-12-02_13-26-29,31.935300588607788,246.0994770526886,22800,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,246.0994770526886,6
0.65626,0.53973,0.57545,0.16712,0.01487,8.19657,1.74416,7,1764653222,,False,7,476b5_00005,2025-12-02_13-27-02,32.21855163574219,278.3180286884308,22800,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,278.3180286884308,7
0.67545,0.53941,0.57591,0.1628,0.01496,8.47224,1.7055,8,1764653254,,False,8,476b5_00005,2025-12-02_13-27-34,32.40803074836731,310.7260594367981,22800,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,310.7260594367981,8
0.70128,0.55722,0.60919,0.19958,0.01342,7.7511,1.60984,9,1764653286,,False,9,476b5_00005,2025-12-02_13-28-06,32.25703191757202,342.9830913543701,22800,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,342.9830913543701,9
0.669,0.57717,0.61822,0.21463,0.01327,7.58738,1.55033,10,1764653318,,True,10,476b5_00005,2025-12-02_13-28-38,32.10031461715698,375.0834059715271,22800,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,375.0834059715271,10
