metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.44419,0.43979,0.39379,0.13697,0.05048,10.06806,1.703,1,1764659103,,False,1,476b5_00011,2025-12-02_15-05-03,196.48598742485046,196.48598742485046,28605,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,196.48598742485046,1
0.53967,0.41979,0.43342,0.17316,0.04542,6.88833,1.4721,2,1764659136,,False,2,476b5_00011,2025-12-02_15-05-36,31.37564706802368,227.86163449287415,28605,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,227.86163449287415,2
0.50379,0.34178,0.34285,0.09679,0.06054,8.8724,1.86002,3,1764659166,,False,3,476b5_00011,2025-12-02_15-06-06,30.79429602622986,258.655930519104,28605,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,258.655930519104,3
0.58377,0.45084,0.45523,0.14765,0.05439,7.07842,1.6475,4,1764659197,,False,4,476b5_00011,2025-12-02_15-06-37,31.012470483779907,289.6684010028839,28605,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,289.6684010028839,4
0.57739,0.41294,0.42917,0.11225,0.05976,7.71012,1.84533,5,1764659228,,False,5,476b5_00011,2025-12-02_15-07-08,30.699206113815308,320.3676071166992,28605,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,320.3676071166992,5
0.55404,0.54303,0.53896,0.24211,0.04202,5.93531,1.35582,6,1764659259,,False,6,476b5_00011,2025-12-02_15-07-39,30.721862077713013,351.08946919441223,28605,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,351.08946919441223,6
0.60235,0.56919,0.57642,0.2089,0.04902,5.93706,1.46555,7,1764659289,,False,7,476b5_00011,2025-12-02_15-08-09,30.456945657730103,381.54641485214233,28605,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,381.54641485214233,7
0.62506,0.53898,0.56234,0.23727,0.04643,5.88184,1.43549,8,1764659320,,False,8,476b5_00011,2025-12-02_15-08-40,30.308480262756348,411.8548951148987,28605,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,411.8548951148987,8
0.67196,0.5511,0.58381,0.21375,0.04955,5.83577,1.51266,9,1764659350,,False,9,476b5_00011,2025-12-02_15-09-10,30.311325550079346,442.166220664978,28605,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,442.166220664978,9
0.65833,0.51284,0.56953,0.204,0.05075,6.4029,1.49721,10,1764659381,,True,10,476b5_00011,2025-12-02_15-09-41,30.520932912826538,472.68715357780457,28605,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,472.68715357780457,10
