metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.39427,0.39684,0.32576,0.07804,0.02344,20.34042,1.89937,1,1764646262,,False,1,476b5_00000,2025-12-02_11-31-02,447.4432089328766,447.4432089328766,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,447.4432089328766,1
0.4683,0.40895,0.3582,0.08566,0.02316,11.29848,1.88927,2,1764646297,,False,2,476b5_00000,2025-12-02_11-31-37,34.0131151676178,481.4563241004944,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,481.4563241004944,2
0.48219,0.44497,0.39179,0.10417,0.02263,10.23863,1.81735,3,1764646331,,False,3,476b5_00000,2025-12-02_11-32-11,33.61732792854309,515.0736520290375,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,515.0736520290375,3
0.61662,0.50775,0.53967,0.20336,0.01775,8.11605,1.4829,4,1764646364,,False,4,476b5_00000,2025-12-02_11-32-44,33.42638349533081,548.5000355243683,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,548.5000355243683,4
0.61462,0.55791,0.57556,0.24186,0.01767,7.73446,1.46382,5,1764646398,,False,5,476b5_00000,2025-12-02_11-33-18,33.75491642951965,582.2549519538879,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,582.2549519538879,5
0.66986,0.5401,0.59061,0.21632,0.01833,7.61748,1.51141,6,1764646432,,False,6,476b5_00000,2025-12-02_11-33-52,33.33301544189453,615.5879673957825,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,615.5879673957825,6
0.68861,0.55576,0.60456,0.21373,0.02,7.71276,1.58659,7,1764646465,,False,7,476b5_00000,2025-12-02_11-34-25,33.27529263496399,648.8632600307465,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,648.8632600307465,7
0.66383,0.49289,0.54207,0.22521,0.01768,7.75225,1.45228,8,1764646498,,False,8,476b5_00000,2025-12-02_11-34-58,32.89912414550781,681.7623841762543,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,681.7623841762543,8
0.66012,0.56224,0.60458,0.26436,0.01588,6.95376,1.38739,9,1764646531,,False,9,476b5_00000,2025-12-02_11-35-31,33.666279792785645,715.4286639690399,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,715.4286639690399,9
0.71259,0.56296,0.63644,0.27256,0.01742,7.33733,1.4365,10,1764646565,,False,10,476b5_00000,2025-12-02_11-36-05,33.69419550895691,749.1228594779968,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,749.1228594779968,10
0.69773,0.62578,0.6689,0.29138,0.01707,6.52305,1.38602,11,1764646599,,False,11,476b5_00000,2025-12-02_11-36-39,33.58808255195618,782.710942029953,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,782.710942029953,11
0.76073,0.61478,0.6926,0.31442,0.01632,6.55015,1.38066,12,1764646632,,False,12,476b5_00000,2025-12-02_11-37-12,33.41572427749634,816.1266663074493,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,816.1266663074493,12
0.75504,0.61761,0.69548,0.35492,0.01528,6.1444,1.30587,13,1764646665,,False,13,476b5_00000,2025-12-02_11-37-45,33.37276363372803,849.4994299411774,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,849.4994299411774,13
0.71675,0.57571,0.65836,0.30296,0.01559,6.97957,1.32613,14,1764646699,,False,14,476b5_00000,2025-12-02_11-38-19,33.916250228881836,883.4156801700592,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,883.4156801700592,14
0.71607,0.60421,0.66364,0.31547,0.0157,6.37236,1.34311,15,1764646733,,False,15,476b5_00000,2025-12-02_11-38-53,33.88571071624756,917.3013908863068,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,917.3013908863068,15
0.76986,0.62713,0.70222,0.35221,0.01467,6.33279,1.31435,16,1764646767,,False,16,476b5_00000,2025-12-02_11-39-27,34.17283391952515,951.4742248058319,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,951.4742248058319,16
0.74685,0.59107,0.67908,0.3432,0.01499,6.4219,1.29071,17,1764646802,,False,17,476b5_00000,2025-12-02_11-40-02,34.21706461906433,985.6912894248962,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,985.6912894248962,17
0.77263,0.64049,0.70921,0.32936,0.01608,6.12191,1.36183,18,1764646835,,False,18,476b5_00000,2025-12-02_11-40-35,33.27948570251465,1018.9707751274109,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1018.9707751274109,18
0.77621,0.60542,0.69494,0.33082,0.0161,6.47537,1.34743,19,1764646869,,False,19,476b5_00000,2025-12-02_11-41-09,33.6271448135376,1052.5979199409485,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1052.5979199409485,19
0.79354,0.62448,0.72174,0.36228,0.01462,6.0902,1.27715,20,1764646902,,False,20,476b5_00000,2025-12-02_11-41-42,33.21559238433838,1085.8135123252869,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1085.8135123252869,20
0.76532,0.64965,0.72172,0.35758,0.0149,5.98296,1.29711,21,1764646935,,False,21,476b5_00000,2025-12-02_11-42-15,32.726503133773804,1118.5400154590607,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1118.5400154590607,21
0.77894,0.64033,0.72145,0.34983,0.01626,6.51788,1.34254,22,1764646968,,False,22,476b5_00000,2025-12-02_11-42-48,33.73591208457947,1152.2759275436401,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1152.2759275436401,22
0.80418,0.6506,0.73486,0.37317,0.01538,6.42788,1.31082,23,1764647001,,False,23,476b5_00000,2025-12-02_11-43-21,32.753360748291016,1185.0292882919312,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1185.0292882919312,23
0.78157,0.63356,0.71698,0.33183,0.01643,6.66557,1.36742,24,1764647033,,False,24,476b5_00000,2025-12-02_11-43-53,32.12900257110596,1217.158290863037,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1217.158290863037,24
0.74744,0.62585,0.7054,0.41516,0.01139,6.28298,1.14058,25,1764647066,,False,25,476b5_00000,2025-12-02_11-44-26,32.78262186050415,1249.9409127235413,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1249.9409127235413,25
0.76996,0.65452,0.73997,0.41577,0.01247,5.66164,1.18373,26,1764647099,,False,26,476b5_00000,2025-12-02_11-44-59,32.52618384361267,1282.467096567154,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1282.467096567154,26
0.79744,0.65571,0.73795,0.37177,0.01481,6.13227,1.26629,27,1764647131,,False,27,476b5_00000,2025-12-02_11-45-31,32.72634792327881,1315.1934444904327,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1315.1934444904327,27
0.81455,0.63849,0.73801,0.38474,0.01448,6.13499,1.27573,28,1764647164,,False,28,476b5_00000,2025-12-02_11-46-04,32.21880841255188,1347.4122529029846,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1347.4122529029846,28
0.80866,0.66222,0.74214,0.37632,0.01531,6.45469,1.29097,29,1764647196,,False,29,476b5_00000,2025-12-02_11-46-36,32.64735198020935,1380.059604883194,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1380.059604883194,29
0.80839,0.64692,0.74125,0.39157,0.01417,6.16683,1.24593,30,1764647229,,False,30,476b5_00000,2025-12-02_11-47-09,32.5634503364563,1412.6230552196503,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1412.6230552196503,30
0.81737,0.65806,0.75916,0.4231,0.01307,5.83188,1.19636,31,1764647261,,False,31,476b5_00000,2025-12-02_11-47-41,32.51507639884949,1445.1381316184998,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1445.1381316184998,31
0.81481,0.64525,0.74542,0.41152,0.01411,6.41873,1.23236,32,1764647294,,False,32,476b5_00000,2025-12-02_11-48-14,32.82426953315735,1477.962401151657,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1477.962401151657,32
0.80278,0.65776,0.74686,0.40343,0.01434,6.15388,1.23897,33,1764647326,,False,33,476b5_00000,2025-12-02_11-48-46,32.141738176345825,1510.104139328003,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1510.104139328003,33
0.82814,0.64093,0.74884,0.38838,0.01435,6.46883,1.24715,34,1764647359,,False,34,476b5_00000,2025-12-02_11-49-19,32.68324661254883,1542.7873859405518,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1542.7873859405518,34
0.8195,0.6546,0.74303,0.43226,0.0127,6.3422,1.17996,35,1764647391,,False,35,476b5_00000,2025-12-02_11-49-51,32.42031669616699,1575.2077026367188,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1575.2077026367188,35
0.81832,0.65223,0.73797,0.36426,0.01561,6.36254,1.29935,36,1764647425,,False,36,476b5_00000,2025-12-02_11-50-25,33.253705739974976,1608.4614083766937,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1608.4614083766937,36
0.81726,0.6581,0.75485,0.4433,0.01204,5.73082,1.14809,37,1764647457,,False,37,476b5_00000,2025-12-02_11-50-57,32.079188108444214,1640.540596485138,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1640.540596485138,37
0.84039,0.64595,0.74719,0.4251,0.01329,6.20196,1.2076,38,1764647490,,False,38,476b5_00000,2025-12-02_11-51-30,33.204328536987305,1673.7449250221252,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1673.7449250221252,38
0.83646,0.66136,0.74541,0.41107,0.01373,6.42834,1.21095,39,1764647523,,False,39,476b5_00000,2025-12-02_11-52-03,32.57647919654846,1706.3214042186737,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1706.3214042186737,39
0.84087,0.68621,0.76838,0.45086,0.01254,5.53079,1.16347,40,1764647555,,False,40,476b5_00000,2025-12-02_11-52-35,32.31542110443115,1738.6368253231049,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1738.6368253231049,40
0.82063,0.69233,0.76703,0.42265,0.01402,6.01569,1.22803,41,1764647587,,False,41,476b5_00000,2025-12-02_11-53-07,32.465943813323975,1771.1027691364288,16907,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1771.1027691364288,41
