metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.56763,0.46912,0.49105,0.16885,0.04936,8.36081,1.58084,1,1764653840,,False,1,476b5_00007,2025-12-02_13-37-20,89.98176002502441,89.98176002502441,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,89.98176002502441,1
0.6536,0.50251,0.53597,0.20066,0.04814,8.53737,1.51567,2,1764653875,,False,2,476b5_00007,2025-12-02_13-37-55,33.775999784469604,123.75775980949402,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,123.75775980949402,2
0.64117,0.5647,0.59947,0.24895,0.04233,7.58016,1.42573,3,1764653908,,False,3,476b5_00007,2025-12-02_13-38-28,32.86143255233765,156.61919236183167,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,156.61919236183167,3
0.65215,0.54167,0.5648,0.19597,0.05228,7.41129,1.58331,4,1764653941,,False,4,476b5_00007,2025-12-02_13-39-01,32.63148784637451,189.25068020820618,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,189.25068020820618,4
0.69739,0.58457,0.63186,0.26994,0.04194,6.72103,1.36162,5,1764653973,,False,5,476b5_00007,2025-12-02_13-39-33,32.121214151382446,221.37189435958862,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,221.37189435958862,5
0.70149,0.5834,0.65145,0.31092,0.03805,6.47873,1.31792,6,1764654004,,False,6,476b5_00007,2025-12-02_13-40-04,31.67424440383911,253.04613876342773,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,253.04613876342773,6
0.73156,0.55576,0.64572,0.32263,0.03772,6.83054,1.29912,7,1764654036,,False,7,476b5_00007,2025-12-02_13-40-36,31.92942452430725,284.975563287735,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,284.975563287735,7
0.69013,0.53807,0.60565,0.2929,0.04127,7.50104,1.34861,8,1764654069,,False,8,476b5_00007,2025-12-02_13-41-09,32.195918560028076,317.17148184776306,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,317.17148184776306,8
0.72252,0.56408,0.6394,0.34069,0.03575,6.85054,1.3055,9,1764654100,,False,9,476b5_00007,2025-12-02_13-41-40,31.66102957725525,348.8325114250183,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,348.8325114250183,9
0.76418,0.61442,0.69193,0.36792,0.03437,6.21512,1.2419,10,1764654132,,False,10,476b5_00007,2025-12-02_13-42-12,32.105995178222656,380.93850660324097,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,380.93850660324097,10
0.76926,0.61625,0.69401,0.3329,0.0406,5.91691,1.32261,11,1764654164,,False,11,476b5_00007,2025-12-02_13-42-44,32.104586601257324,413.0430932044983,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,413.0430932044983,11
0.76495,0.62088,0.69162,0.32821,0.04015,5.99012,1.33049,12,1764654197,,False,12,476b5_00007,2025-12-02_13-43-17,32.18231201171875,445.22540521621704,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,445.22540521621704,12
0.79652,0.64767,0.73533,0.40228,0.03284,5.39176,1.18884,13,1764654228,,False,13,476b5_00007,2025-12-02_13-43-48,31.7125141620636,476.93791937828064,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,476.93791937828064,13
0.77872,0.62429,0.71212,0.39402,0.03355,6.3612,1.2017,14,1764654260,,False,14,476b5_00007,2025-12-02_13-44-20,32.10955190658569,509.04747128486633,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,509.04747128486633,14
0.75541,0.54592,0.64675,0.32392,0.03658,7.95338,1.28066,15,1764654292,,False,15,476b5_00007,2025-12-02_13-44-52,31.72139072418213,540.7688620090485,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,540.7688620090485,15
0.75017,0.6183,0.68924,0.38088,0.03424,6.4862,1.21477,16,1764654324,,False,16,476b5_00007,2025-12-02_13-45-24,31.618465900421143,572.3873279094696,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,572.3873279094696,16
0.7832,0.62444,0.72171,0.356,0.03912,6.12179,1.2972,17,1764654356,,False,17,476b5_00007,2025-12-02_13-45-56,32.472591400146484,604.8599193096161,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,604.8599193096161,17
0.79145,0.66237,0.74147,0.43068,0.03141,5.70115,1.1514,18,1764654388,,False,18,476b5_00007,2025-12-02_13-46-28,31.92849087715149,636.7884101867676,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,636.7884101867676,18
0.81126,0.63002,0.7371,0.39523,0.03432,5.54981,1.21649,19,1764654420,,False,19,476b5_00007,2025-12-02_13-47-00,32.188061237335205,668.9764714241028,24074,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,668.9764714241028,19
