metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.60304,0.47982,0.50086,0.20959,0.02374,3.27109,1.49009,1,1764664232,,False,1,476b5_00017,2025-12-02_16-30-32,238.1843614578247,238.1843614578247,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,238.1843614578247,1
0.49206,0.3705,0.36593,0.15161,0.02516,4.14341,1.53599,2,1764664265,,False,2,476b5_00017,2025-12-02_16-31-05,31.54227876663208,269.7266402244568,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,269.7266402244568,2
0.64399,0.54538,0.55813,0.20902,0.02632,2.9675,1.5276,3,1764664296,,False,3,476b5_00017,2025-12-02_16-31-36,31.243494987487793,300.9701352119446,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,300.9701352119446,3
0.66456,0.58205,0.60509,0.2467,0.02585,2.79461,1.49822,4,1764664328,,False,4,476b5_00017,2025-12-02_16-32-08,31.622692823410034,332.5928280353546,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,332.5928280353546,4
0.72207,0.57079,0.63819,0.27599,0.02342,2.63923,1.40936,5,1764664359,,False,5,476b5_00017,2025-12-02_16-32-39,30.80224633216858,363.3950743675232,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,363.3950743675232,5
0.69347,0.56054,0.61877,0.24671,0.02551,2.8689,1.4853,6,1764664391,,False,6,476b5_00017,2025-12-02_16-33-11,31.778102159500122,395.1731765270233,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,395.1731765270233,6
0.71049,0.60333,0.65339,0.28416,0.02388,2.53969,1.44065,7,1764664422,,False,7,476b5_00017,2025-12-02_16-33-42,31.27292513847351,426.4461016654968,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,426.4461016654968,7
0.71845,0.60258,0.65535,0.23691,0.02793,2.64127,1.59787,8,1764664453,,False,8,476b5_00017,2025-12-02_16-34-13,31.03675413131714,457.48285579681396,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,457.48285579681396,8
0.75268,0.59138,0.66907,0.27822,0.02415,2.5362,1.44579,9,1764664485,,False,9,476b5_00017,2025-12-02_16-34-45,31.479561805725098,488.96241760253906,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,488.96241760253906,9
0.75339,0.655,0.70609,0.31896,0.02245,2.31891,1.38354,10,1764664516,,False,10,476b5_00017,2025-12-02_16-35-16,31.754436016082764,520.7168536186218,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,520.7168536186218,10
0.77672,0.62292,0.72518,0.33226,0.02304,2.34429,1.3957,11,1764664548,,False,11,476b5_00017,2025-12-02_16-35-48,31.26901912689209,551.9858727455139,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,551.9858727455139,11
0.7221,0.59736,0.66444,0.31147,0.02238,2.35092,1.37776,12,1764664578,,False,12,476b5_00017,2025-12-02_16-36-18,30.70817470550537,582.6940474510193,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,582.6940474510193,12
0.76862,0.61981,0.70214,0.27221,0.02708,2.51083,1.56347,13,1764664610,,False,13,476b5_00017,2025-12-02_16-36-50,31.421520471572876,614.1155679225922,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,614.1155679225922,13
0.73199,0.63493,0.677,0.2875,0.02386,2.49876,1.41042,14,1764664641,,False,14,476b5_00017,2025-12-02_16-37-21,31.341707229614258,645.4572751522064,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,645.4572751522064,14
0.76125,0.58711,0.67641,0.30363,0.02417,2.62135,1.43277,15,1764664672,,False,15,476b5_00017,2025-12-02_16-37-52,31.367213249206543,676.824488401413,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,676.824488401413,15
0.78353,0.62004,0.70524,0.28956,0.02561,2.5667,1.49067,16,1764664704,,False,16,476b5_00017,2025-12-02_16-38-24,31.321593046188354,708.1460814476013,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,708.1460814476013,16
0.77468,0.61881,0.7145,0.3482,0.02063,2.24946,1.30089,17,1764664735,,False,17,476b5_00017,2025-12-02_16-38-55,31.053632020950317,739.1997134685516,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,739.1997134685516,17
0.79245,0.64855,0.72762,0.40586,0.01824,2.2023,1.22674,18,1764664767,,False,18,476b5_00017,2025-12-02_16-39-27,31.876413583755493,771.0761270523071,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,771.0761270523071,18
0.79358,0.60387,0.69765,0.3802,0.01913,2.68337,1.24024,19,1764664798,,False,19,476b5_00017,2025-12-02_16-39-58,31.13901948928833,802.2151465415955,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,802.2151465415955,19
0.80165,0.63937,0.74217,0.33929,0.02297,2.3027,1.38041,20,1764664829,,False,20,476b5_00017,2025-12-02_16-40-29,31.12398052215576,833.3391270637512,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,833.3391270637512,20
0.82012,0.65712,0.75164,0.37106,0.02082,2.10359,1.28533,21,1764664860,,False,21,476b5_00017,2025-12-02_16-41-00,30.795886993408203,864.1350140571594,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,864.1350140571594,21
0.80506,0.66713,0.75063,0.36536,0.0224,2.23512,1.33551,22,1764664891,,False,22,476b5_00017,2025-12-02_16-41-31,31.31952476501465,895.4545388221741,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,895.4545388221741,22
0.80097,0.64162,0.74046,0.39117,0.02018,2.21698,1.28267,23,1764664922,,False,23,476b5_00017,2025-12-02_16-42-02,30.715837240219116,926.1703760623932,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,926.1703760623932,23
0.81282,0.67313,0.75932,0.39292,0.01923,2.16378,1.23694,24,1764664953,,False,24,476b5_00017,2025-12-02_16-42-33,31.479053497314453,957.6494295597076,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,957.6494295597076,24
0.82432,0.67778,0.77959,0.42322,0.0193,2.01546,1.2335,25,1764664984,,False,25,476b5_00017,2025-12-02_16-43-04,31.058975219726562,988.7084047794342,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,988.7084047794342,25
0.83255,0.66114,0.7591,0.42932,0.01874,2.18389,1.22017,26,1764665016,,False,26,476b5_00017,2025-12-02_16-43-36,31.32888650894165,1020.0372912883759,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1020.0372912883759,26
0.8156,0.64958,0.74404,0.37404,0.02112,2.41435,1.28419,27,1764665047,,False,27,476b5_00017,2025-12-02_16-44-07,31.245984315872192,1051.283275604248,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1051.283275604248,27
0.82823,0.67278,0.76368,0.35108,0.02246,2.15458,1.33774,28,1764665079,,False,28,476b5_00017,2025-12-02_16-44-39,32.03958559036255,1083.3228611946106,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1083.3228611946106,28
0.82854,0.66076,0.75702,0.41768,0.01896,2.12158,1.21334,29,1764665110,,False,29,476b5_00017,2025-12-02_16-45-10,31.15050721168518,1114.4733684062958,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1114.4733684062958,29
0.80037,0.66306,0.73938,0.38376,0.0198,2.31887,1.27388,30,1764665142,,True,30,476b5_00017,2025-12-02_16-45-42,31.446176290512085,1145.9195446968079,33820,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1145.9195446968079,30
