metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.50287,0.52071,0.48607,0.18617,0.00865,4.68756,1.44762,1,1764660527,,False,1,476b5_00014,2025-12-02_15-28-47,113.8093433380127,113.8093433380127,30668,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,113.8093433380127,1
0.59253,0.48302,0.49988,0.21975,0.00793,5.00422,1.43549,2,1764660561,,False,2,476b5_00014,2025-12-02_15-29-21,32.816895961761475,146.62623929977417,30668,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,146.62623929977417,2
0.60282,0.52654,0.54537,0.21859,0.00849,4.63819,1.50493,3,1764660592,,False,3,476b5_00014,2025-12-02_15-29-52,31.494039058685303,178.12027835845947,30668,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,178.12027835845947,3
0.66501,0.52629,0.56576,0.28612,0.00661,4.08091,1.27629,4,1764660624,,False,4,476b5_00014,2025-12-02_15-30-24,31.395991563796997,209.51626992225647,30668,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,209.51626992225647,4
0.6726,0.53971,0.59719,0.26679,0.00764,4.26846,1.40295,5,1764660655,,False,5,476b5_00014,2025-12-02_15-30-55,31.279688596725464,240.79595851898193,30668,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,240.79595851898193,5
0.6907,0.58725,0.63193,0.31329,0.00689,3.73903,1.3044,6,1764660686,,False,6,476b5_00014,2025-12-02_15-31-26,31.26253914833069,272.0584976673126,30668,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,272.0584976673126,6
0.7044,0.60654,0.66899,0.31193,0.0074,3.77142,1.34531,7,1764660718,,False,7,476b5_00014,2025-12-02_15-31-58,31.220740795135498,303.2792384624481,30668,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,303.2792384624481,7
0.63624,0.60856,0.62734,0.27545,0.00806,3.97777,1.42341,8,1764660749,,False,8,476b5_00014,2025-12-02_15-32-29,31.519129991531372,334.7983684539795,30668,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,334.7983684539795,8
0.7059,0.58353,0.64089,0.29878,0.00743,3.69463,1.34107,9,1764660781,,False,9,476b5_00014,2025-12-02_15-33-01,31.42371106147766,366.22207951545715,30668,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,366.22207951545715,9
0.71533,0.6352,0.68158,0.33297,0.00705,3.79171,1.31801,10,1764660812,,False,10,476b5_00014,2025-12-02_15-33-32,31.000556707382202,397.22263622283936,30668,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,397.22263622283936,10
0.74982,0.62184,0.69838,0.31899,0.00767,3.64395,1.36408,11,1764660843,,False,11,476b5_00014,2025-12-02_15-34-03,31.262102842330933,428.4847390651703,30668,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,428.4847390651703,11
0.75751,0.63835,0.69255,0.32743,0.00742,3.62119,1.33894,12,1764660874,,False,12,476b5_00014,2025-12-02_15-34-34,30.88367009162903,459.3684091567993,30668,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,459.3684091567993,12
0.73118,0.62537,0.68024,0.30318,0.00786,3.86875,1.37933,13,1764660904,,False,13,476b5_00014,2025-12-02_15-35-04,30.717671155929565,490.0860803127289,30668,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,490.0860803127289,13
