metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.47455,0.3929,0.37444,0.16081,0.04312,8.58049,1.59689,1,1764649149,,False,1,476b5_00002,2025-12-02_12-19-09,85.80988097190857,85.80988097190857,19500,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,85.80988097190857,1
0.56224,0.42133,0.42601,0.18089,0.04312,7.86883,1.45623,2,1764649184,,False,2,476b5_00002,2025-12-02_12-19-44,33.668277740478516,119.47815871238708,19500,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,119.47815871238708,2
0.60859,0.51742,0.53728,0.21201,0.04345,5.99875,1.457,3,1764649217,,False,3,476b5_00002,2025-12-02_12-20-17,33.03042674064636,152.50858545303345,19500,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,152.50858545303345,3
0.66249,0.47577,0.54228,0.26016,0.03831,5.94098,1.33481,4,1764649251,,False,4,476b5_00002,2025-12-02_12-20-51,33.18204927444458,185.69063472747803,19500,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,185.69063472747803,4
0.64226,0.54131,0.56058,0.25673,0.03964,5.86425,1.36917,5,1764649283,,False,5,476b5_00002,2025-12-02_12-21-23,32.86444282531738,218.5550775527954,19500,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,218.5550775527954,5
0.65719,0.50414,0.56189,0.23139,0.04328,5.91014,1.49301,6,1764649317,,False,6,476b5_00002,2025-12-02_12-21-57,33.120994329452515,251.67607188224792,19500,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,251.67607188224792,6
0.62932,0.51292,0.54843,0.22828,0.04419,6.06958,1.48237,7,1764649350,,False,7,476b5_00002,2025-12-02_12-22-30,33.59775161743164,285.27382349967957,19500,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,285.27382349967957,7
0.73847,0.53625,0.61584,0.27561,0.04188,6.01635,1.40728,8,1764649384,,False,8,476b5_00002,2025-12-02_12-23-04,33.43309187889099,318.70691537857056,19500,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,318.70691537857056,8
0.69245,0.50351,0.56409,0.25074,0.04266,6.36575,1.42243,9,1764649417,,False,9,476b5_00002,2025-12-02_12-23-37,33.103052854537964,351.8099682331085,19500,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,351.8099682331085,9
0.75515,0.61397,0.68446,0.32383,0.03877,5.08788,1.3312,10,1764649450,,False,10,476b5_00002,2025-12-02_12-24-10,33.70429015159607,385.5142583847046,19500,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,385.5142583847046,10
