metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.57359,0.4833,0.4942,0.21154,0.00965,4.60991,1.34394,1,1764659667,,False,1,476b5_00012,2025-12-02_15-14-27,284.4500102996826,284.4500102996826,29275,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,284.4500102996826,1
0.65778,0.47949,0.52216,0.19324,0.01161,4.70986,1.56141,2,1764659700,,False,2,476b5_00012,2025-12-02_15-15-00,32.11071419715881,316.56072449684143,29275,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,316.56072449684143,2
0.67502,0.51906,0.56654,0.23649,0.00973,4.84673,1.40847,3,1764659732,,False,3,476b5_00012,2025-12-02_15-15-32,31.408032655715942,347.9687571525574,29275,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,347.9687571525574,3
0.69979,0.56714,0.61073,0.24471,0.01093,4.35083,1.47179,4,1764659763,,False,4,476b5_00012,2025-12-02_15-16-03,31.040345668792725,379.0091028213501,29275,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,379.0091028213501,4
0.73405,0.59927,0.66885,0.29539,0.00969,3.9987,1.40765,5,1764659794,,False,5,476b5_00012,2025-12-02_15-16-34,31.255859851837158,410.26496267318726,29275,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,410.26496267318726,5
0.74556,0.57337,0.66909,0.311,0.00904,3.92213,1.32364,6,1764659825,,False,6,476b5_00012,2025-12-02_15-17-05,31.143861770629883,441.40882444381714,29275,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,441.40882444381714,6
0.71765,0.61138,0.65538,0.28658,0.01015,4.1235,1.40936,7,1764659857,,False,7,476b5_00012,2025-12-02_15-17-37,31.330353260040283,472.7391777038574,29275,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,472.7391777038574,7
0.73375,0.50848,0.59924,0.29334,0.00915,4.89686,1.32967,8,1764659888,,False,8,476b5_00012,2025-12-02_15-18-08,31.104869604110718,503.84404730796814,29275,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,503.84404730796814,8
0.74127,0.59502,0.68243,0.33074,0.00936,4.15596,1.33073,9,1764659919,,False,9,476b5_00012,2025-12-02_15-18-39,31.28836989402771,535.1324172019958,29275,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,535.1324172019958,9
0.76824,0.61947,0.68695,0.2852,0.01032,4.05724,1.40728,10,1764659950,,True,10,476b5_00012,2025-12-02_15-19-10,31.386754751205444,566.5191719532013,29275,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,566.5191719532013,10
