metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.52738,0.45335,0.45235,0.15425,0.01896,10.58777,1.55728,1,1764653453,,False,1,476b5_00006,2025-12-02_13-30-53,132.5547273159027,132.5547273159027,23426,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,132.5547273159027,1
0.53062,0.48522,0.45001,0.12966,0.02101,10.1206,1.74245,2,1764653488,,False,2,476b5_00006,2025-12-02_13-31-28,33.161295890808105,165.71602320671082,23426,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,165.71602320671082,2
0.45303,0.3939,0.35198,0.07323,0.02503,10.39903,2.01779,3,1764653520,,False,3,476b5_00006,2025-12-02_13-32-00,32.45534420013428,198.1713674068451,23426,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,198.1713674068451,3
0.55204,0.47084,0.48108,0.1508,0.01988,9.5653,1.63314,4,1764653552,,False,4,476b5_00006,2025-12-02_13-32-32,31.880609035491943,230.05197644233704,23426,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,230.05197644233704,4
0.6033,0.5412,0.53822,0.18011,0.01983,9.02201,1.62136,5,1764653585,,False,5,476b5_00006,2025-12-02_13-33-05,32.549110412597656,262.6010868549347,23426,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,262.6010868549347,5
0.60252,0.51414,0.54759,0.20432,0.01778,8.54846,1.5131,6,1764653617,,False,6,476b5_00006,2025-12-02_13-33-37,32.81648111343384,295.41756796836853,23426,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,295.41756796836853,6
0.61874,0.52169,0.54319,0.18405,0.01926,8.73551,1.58112,7,1764653650,,False,7,476b5_00006,2025-12-02_13-34-10,32.42454433441162,327.84211230278015,23426,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,327.84211230278015,7
0.59303,0.50815,0.51208,0.1704,0.02073,9.1986,1.67927,8,1764653682,,False,8,476b5_00006,2025-12-02_13-34-42,32.13084173202515,359.9729540348053,23426,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,359.9729540348053,8
0.62035,0.51361,0.5205,0.12394,0.02325,9.27491,1.94202,9,1764653714,,False,9,476b5_00006,2025-12-02_13-35-14,32.31080102920532,392.2837550640106,23426,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,392.2837550640106,9
0.6575,0.57006,0.60423,0.25382,0.0162,8.06525,1.4056,10,1764653747,,True,10,476b5_00006,2025-12-02_13-35-47,32.513227462768555,424.7969825267792,23426,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,424.7969825267792,10
