metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.33851,0.42895,0.34807,0.10216,0.01529,3.65678,1.68766,1,1764663708,,False,1,476b5_00016,2025-12-02_16-21-48,268.2076270580292,268.2076270580292,33105,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,268.2076270580292,1
0.47386,0.42063,0.39397,0.10594,0.01607,3.48711,1.88421,2,1764663741,,False,2,476b5_00016,2025-12-02_16-22-21,31.619951248168945,299.8275783061981,33105,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,299.8275783061981,2
0.51752,0.45903,0.45526,0.1437,0.01503,3.4421,1.72533,3,1764663773,,False,3,476b5_00016,2025-12-02_16-22-53,31.547454595565796,331.3750329017639,33105,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,331.3750329017639,3
0.58535,0.50355,0.51015,0.19328,0.01331,2.57019,1.52252,4,1764663804,,False,4,476b5_00016,2025-12-02_16-23-24,31.259692192077637,362.63472509384155,33105,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,362.63472509384155,4
0.62955,0.48656,0.52979,0.19663,0.01392,2.51265,1.55539,5,1764663836,,False,5,476b5_00016,2025-12-02_16-23-56,31.44370746612549,394.07843255996704,33105,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,394.07843255996704,5
0.582,0.47733,0.48205,0.13812,0.0162,2.75382,1.79338,6,1764663867,,False,6,476b5_00016,2025-12-02_16-24-27,31.180832624435425,425.25926518440247,33105,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,425.25926518440247,6
0.61377,0.46644,0.51332,0.19412,0.01386,2.59648,1.59666,7,1764663899,,False,7,476b5_00016,2025-12-02_16-24-59,31.76958918571472,457.0288543701172,33105,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,457.0288543701172,7
0.48797,0.45629,0.45179,0.14294,0.01525,2.65978,1.72439,8,1764663929,,False,8,476b5_00016,2025-12-02_16-25-29,30.850421905517578,487.87927627563477,33105,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,487.87927627563477,8
0.66491,0.52221,0.57012,0.18294,0.01535,2.46963,1.699,9,1764663961,,False,9,476b5_00016,2025-12-02_16-26-01,31.238935232162476,519.1182115077972,33105,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,519.1182115077972,9
0.67726,0.55401,0.60248,0.17837,0.01545,2.48971,1.79225,10,1764663991,,True,10,476b5_00016,2025-12-02_16-26-31,30.64653754234314,549.7647490501404,33105,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,549.7647490501404,10
