metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.55942,0.44109,0.44164,0.15731,0.01143,9.43041,1.58289,1,1764665344,,False,1,476b5_00018,2025-12-02_16-49-04,199.03510999679565,199.03510999679565,34839,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,199.03510999679565,1
0.44921,0.3874,0.34647,0.14198,0.01027,9.8548,1.51942,2,1764665377,,False,2,476b5_00018,2025-12-02_16-49-37,32.184056997299194,231.21916699409485,34839,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,231.21916699409485,2
0.50679,0.41353,0.40704,0.12131,0.01262,9.53718,1.74064,3,1764665409,,False,3,476b5_00018,2025-12-02_16-50-09,31.682616233825684,262.90178322792053,34839,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,262.90178322792053,3
0.5937,0.52973,0.5358,0.23926,0.00921,6.92157,1.38481,4,1764665441,,False,4,476b5_00018,2025-12-02_16-50-41,31.99954915046692,294.90133237838745,34839,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,294.90133237838745,4
0.63942,0.54127,0.57062,0.24079,0.01009,7.38712,1.4345,5,1764665473,,False,5,476b5_00018,2025-12-02_16-51-13,32.08224582672119,326.98357820510864,34839,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,326.98357820510864,5
0.66193,0.50477,0.55069,0.16955,0.0125,7.68191,1.65098,6,1764665505,,False,6,476b5_00018,2025-12-02_16-51-45,31.84102487564087,358.8246030807495,34839,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,358.8246030807495,6
0.68065,0.55709,0.60862,0.26316,0.00973,6.69353,1.41679,7,1764665536,,False,7,476b5_00018,2025-12-02_16-52-16,30.983267784118652,389.80787086486816,34839,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,389.80787086486816,7
0.71202,0.61282,0.67505,0.31608,0.00929,5.80247,1.36903,8,1764665567,,False,8,476b5_00018,2025-12-02_16-52-47,31.56883454322815,421.3767054080963,34839,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,421.3767054080963,8
0.65756,0.56221,0.60329,0.25876,0.00964,6.92529,1.41095,9,1764665599,,False,9,476b5_00018,2025-12-02_16-53-19,31.808993577957153,453.18569898605347,34839,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,453.18569898605347,9
0.72745,0.61698,0.6773,0.27792,0.00983,6.15339,1.42752,10,1764665630,,True,10,476b5_00018,2025-12-02_16-53-50,31.150444269180298,484.33614325523376,34839,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,484.33614325523376,10
