metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.52519,0.42139,0.41683,0.15141,0.048,3.26803,1.6178,1,1764660130,,False,1,476b5_00013,2025-12-02_15-22-10,177.04990196228027,177.04990196228027,30003,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,177.04990196228027,1
0.45327,0.33874,0.34128,0.1338,0.04769,3.99828,1.61101,2,1764660162,,False,2,476b5_00013,2025-12-02_15-22-42,31.24918031692505,208.29908227920532,30003,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,208.29908227920532,2
0.57422,0.51669,0.51334,0.21557,0.04247,2.99884,1.44347,3,1764660194,,False,3,476b5_00013,2025-12-02_15-23-14,31.234979391098022,239.53406167030334,30003,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,239.53406167030334,3
0.63955,0.56477,0.59713,0.2816,0.03813,2.46026,1.34541,4,1764660225,,False,4,476b5_00013,2025-12-02_15-23-45,31.470738887786865,271.0048005580902,30003,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,271.0048005580902,4
0.63483,0.56302,0.58897,0.26267,0.04178,2.64826,1.44294,5,1764660256,,False,5,476b5_00013,2025-12-02_15-24-16,30.765955209732056,301.77075576782227,30003,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,301.77075576782227,5
0.70638,0.56588,0.63443,0.2808,0.04237,2.54809,1.39192,6,1764660287,,False,6,476b5_00013,2025-12-02_15-24-47,31.175321102142334,332.9460768699646,30003,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,332.9460768699646,6
0.68604,0.5468,0.6099,0.21929,0.05095,2.81585,1.59905,7,1764660318,,False,7,476b5_00013,2025-12-02_15-25-18,30.62555480003357,363.57163166999817,30003,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,363.57163166999817,7
0.65587,0.60065,0.63268,0.26409,0.04355,2.61357,1.46951,8,1764660348,,False,8,476b5_00013,2025-12-02_15-25-48,30.5886492729187,394.16028094291687,30003,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,394.16028094291687,8
0.71865,0.58914,0.65228,0.26032,0.04409,2.48294,1.44431,9,1764660380,,False,9,476b5_00013,2025-12-02_15-26-20,31.24173069000244,425.4020116329193,30003,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,425.4020116329193,9
0.68315,0.59075,0.6455,0.26528,0.04473,2.57423,1.46901,10,1764660411,,True,10,476b5_00013,2025-12-02_15-26-51,31.41991639137268,456.821928024292,30003,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,456.821928024292,10
