metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.61346,0.59041,0.55783,0.27103,0.02904,6.4378,1.33534,1,1764657551,,False,1,476b5_00009,2025-12-02_14-39-11,893.0407326221466,893.0407326221466,26589,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,893.0407326221466,1
0.6566,0.52999,0.55533,0.27419,0.0268,6.2389,1.28275,2,1764657586,,False,2,476b5_00009,2025-12-02_14-39-46,33.726240396499634,926.7669730186462,26589,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,926.7669730186462,2
0.61079,0.57542,0.58836,0.27406,0.02965,6.57648,1.32328,3,1764657619,,False,3,476b5_00009,2025-12-02_14-40-19,32.776721239089966,959.5436942577362,26589,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,959.5436942577362,3
0.56097,0.44932,0.48319,0.21849,0.03166,8.05172,1.35695,4,1764657651,,False,4,476b5_00009,2025-12-02_14-40-51,32.15150594711304,991.6952002048492,26589,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,991.6952002048492,4
0.66476,0.58493,0.61531,0.31579,0.02805,5.99538,1.27769,5,1764657683,,False,5,476b5_00009,2025-12-02_14-41-23,31.933014154434204,1023.6282143592834,26589,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1023.6282143592834,5
0.73045,0.58335,0.65418,0.31959,0.02856,5.57287,1.29434,6,1764657715,,False,6,476b5_00009,2025-12-02_14-41-55,32.25758719444275,1055.8858015537262,26589,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1055.8858015537262,6
0.76967,0.59759,0.66844,0.29099,0.03267,5.70655,1.37664,7,1764657747,,False,7,476b5_00009,2025-12-02_14-42-27,31.9616596698761,1087.8474612236023,26589,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1087.8474612236023,7
0.77766,0.64275,0.72217,0.34009,0.02999,5.32595,1.33378,8,1764657779,,False,8,476b5_00009,2025-12-02_14-42-59,31.93444538116455,1119.7819066047668,26589,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1119.7819066047668,8
0.70395,0.63163,0.68464,0.34367,0.02855,5.50686,1.27745,9,1764657811,,False,9,476b5_00009,2025-12-02_14-43-31,32.19746732711792,1151.9793739318848,26589,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1151.9793739318848,9
0.78302,0.62577,0.716,0.35434,0.02891,5.2507,1.28721,10,1764657843,,False,10,476b5_00009,2025-12-02_14-44-03,31.944254636764526,1183.9236285686493,26589,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1183.9236285686493,10
0.68498,0.53567,0.61968,0.3009,0.02961,6.19036,1.32617,11,1764657875,,False,11,476b5_00009,2025-12-02_14-44-35,31.985984802246094,1215.9096133708954,26589,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1215.9096133708954,11
0.71735,0.58654,0.66533,0.34096,0.02769,5.84391,1.27022,12,1764657907,,False,12,476b5_00009,2025-12-02_14-45-07,31.494626760482788,1247.4042401313782,26589,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,1247.4042401313782,12
